candidate_id,axis_id,alpha_hash,symbol,timeframe,intended_side_mode,status,reject_reason,blocker_reason,gross_bps,cost_bps,net_bps,trade_count,long_trade_count,short_trade_count,a1_pass,a2_pass,clip_method,clip_threshold,trigger_type,band_k
13d041a88a9ebaa56ad59151596850d52997f20b872337b91b8c365c0690938c,C,c0307c301079677efe027c85a9c5af4afee00acf8c6267b59e436f254bb36f6e,AAVEUSDT,15m,LONG,PASSED,,,19.909394571013397,14.5,5.409394571013397,1383,1384,0,True,True,,,sign_flip,
c77759708870acb64cf26109cddaf424126ceced256d6e370ac808cd3cc4253a,C,c0307c301079677efe027c85a9c5af4afee00acf8c6267b59e436f254bb36f6e,AVAXUSDT,15m,LONG,PASSED,,,1263.6082996866232,14.5,1249.1082996866232,72,73,0,True,True,,,sign_flip,
5de2d04cd9eca34d80642e19526d3c56b0666e8139af8a7ef6c35cd63cc27a15,C,c0307c301079677efe027c85a9c5af4afee00acf8c6267b59e436f254bb36f6e,BNBUSDT,15m,LONG,PASSED,,,18.555574952644072,14.5,4.055574952644072,2243,2244,0,True,True,,,sign_flip,
da1f64779acaf4b65224954fe5ee093a88029b0f768b4b0bd3679c86d102e8b1,C,c0307c301079677efe027c85a9c5af4afee00acf8c6267b59e436f254bb36f6e,SOLUSDT,15m,LONG,PASSED,,,308.0682423594434,14.5,293.5682423594434,551,552,0,True,True,,,sign_flip,
98d1d15a5029e388cbcd125092a8929cd80b671fd0686e713ad88fcc6566bca7,C,b0be251c6f2f29de96f20900684160b73979506c773912c6c0722c66aa5efd02,AAVEUSDT,15m,LONG,PASSED,,,20.004362470257856,14.5,5.504362470257856,1374,1375,0,True,True,,,sign_flip,
93f8e678917e48b4612c3e0471ac4ea573b727f1cdf1bcff54768d2992a08c3d,C,b0be251c6f2f29de96f20900684160b73979506c773912c6c0722c66aa5efd02,AVAXUSDT,15m,LONG,PASSED,,,1279.0433045169784,14.5,1264.5433045169784,72,73,0,True,True,,,sign_flip,
cb05cc5048be07605dde92d9a6f4dddf6497ddf3fb93a7c38195c133ad6f97d2,C,b0be251c6f2f29de96f20900684160b73979506c773912c6c0722c66aa5efd02,BNBUSDT,15m,LONG,PASSED,,,17.06774168703814,14.5,2.56774168703814,2252,2253,0,True,True,,,sign_flip,
ca9e823350c059a1ca33614e843687fd58528e0410af50c8d27fcb0dbb7c2b63,C,b0be251c6f2f29de96f20900684160b73979506c773912c6c0722c66aa5efd02,SOLUSDT,15m,LONG,PASSED,,,252.95815620980744,14.5,238.45815620980744,550,551,0,True,True,,,sign_flip,
bafda02983c769720b0b9d0343ff8b7485f067ec2c8fb6c6932426771930b707,C,f1c5a247f5bab673b7637ea3a996ef53b93ba5563daa30becfb57c354a1a0070,AVAXUSDT,15m,LONG,PASSED,,,22.33552438529722,14.5,7.835524385297219,207,207,0,True,True,,,sign_flip,
f1c0d16c266ccec538ad931872302cdd1b6b543ca39bb7924a679450fd9d37ff,C,f1c5a247f5bab673b7637ea3a996ef53b93ba5563daa30becfb57c354a1a0070,DOGEUSDT,15m,LONG,PASSED,,,18.664067750533277,14.5,4.1640677505332775,3889,3890,0,True,True,,,sign_flip,
379ea0b395d4e3e86c2564950bb7c5dc6ecd23a3db2045bd328cb2a12afb61d6,C,f1c5a247f5bab673b7637ea3a996ef53b93ba5563daa30becfb57c354a1a0070,SOLUSDT,15m,LONG,PASSED,,,19.681156212690397,14.5,5.1811562126903965,264,264,0,True,True,,,sign_flip,
4c14affbde5424d96800d4bec5d31540d07d46e89cae9fdc8654d81b6df846b0,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,1000PEPEUSDT,15m,LONG,PASSED,,,67.58984662540932,14.5,53.08984662540932,678,679,0,True,True,,,sign_flip,
7c8709fdca0277e727e9699446322b9db4a7e8bf46cdde20d60790cfd176ce22,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,1000SHIBUSDT,15m,LONG,PASSED,,,25.196374742214214,14.5,10.696374742214214,1113,1114,0,True,True,,,sign_flip,
122925787d083ead12057222dafeb14e3b6d75c0b32ab84e5483c0c8e3179a2a,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,AAVEUSDT,15m,LONG,PASSED,,,26.320956560153494,14.5,11.820956560153494,1711,1712,0,True,True,,,sign_flip,
1f4030cd4064e9c6bdca9793691b05de82fce6427eb7f93c239ce4e8002b11a1,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,AVAXUSDT,15m,LONG,PASSED,,,25.021504239246628,14.5,10.521504239246628,1563,1564,0,True,True,,,sign_flip,
a78d594bb378c0fd6ca878b7c62f14a6a7bd8d5405e42d14c30596d80c2a5d30,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,BNBUSDT,15m,LONG,PASSED,,,32.68856657133417,14.5,18.18856657133417,1639,1640,0,True,True,,,sign_flip,
0d69c37632c5f3a3c8540cc4a15454697766439bacbe9cbf01c0a53318c26b69,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,BTCUSDT,15m,LONG,PASSED,,,24.77440475962689,14.5,10.27440475962689,1344,1345,0,True,True,,,sign_flip,
d300f907967a8749248162136c2d75d4f76e2adb6369475e1033fc38ad43bab3,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,DOGEUSDT,15m,LONG,PASSED,,,50.40389707825258,14.5,35.90389707825258,1325,1326,0,True,True,,,sign_flip,
7688d74e5f9f89d87b01f11fa31bf38868a8675b61158f323cdd139350261ebe,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,ETHUSDT,15m,LONG,PASSED,,,32.346088364907025,14.5,17.846088364907025,1326,1327,0,True,True,,,sign_flip,
59990cfb97a7364cd948571210a9a20e37e67e0a2fe089cc3f8d8b3d3307e547,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,LINKUSDT,15m,LONG,PASSED,,,29.84782902223954,14.5,15.34782902223954,1726,1727,0,True,True,,,sign_flip,
5c075df1142000eee79293e81b6ff23851cd582e8cd1c9af1f8550f8dc38e55e,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,SOLUSDT,15m,LONG,PASSED,,,46.76552844676176,14.5,32.26552844676176,1497,1498,0,True,True,,,sign_flip,
0803b053434583f37af487773bb827b8fe1647013c77fd3b37dca15ca2ffe194,C,8aa91bf429958df3dff21c0a73da294eb881fbc2077cdb810e929891468398ac,XRPUSDT,15m,LONG,PASSED,,,34.0537648683015,14.5,19.5537648683015,1484,1485,0,True,True,,,sign_flip,
2cb8cc03ee03040b49b13d85b8647531212fa41ce94803d240c244604b84b856,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,1000PEPEUSDT,15m,LONG,PASSED,,,48.65577354484489,14.5,34.15577354484489,993,994,0,True,True,,,sign_flip,
9ef7626e90841a5b1817549801bed7dc5479ff75ae51aaa2a3d9edf10020cc5d,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,1000SHIBUSDT,15m,LONG,PASSED,,,27.4475129533559,14.5,12.9475129533559,1666,1667,0,True,True,,,sign_flip,
01fe7b173f7cb19e0ed68f069de4f5d91419fb920bbbed327b99956d056bda51,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,1000SHIBUSDT,15m,SHORT,PASSED,,,16.7096724164696,14.5,2.2096724164696013,1711,0,1711,True,True,,,sign_flip,
b70ce276afaaa28e2edde00e4fb18abc71a12e36671de6819d2ae2059142b4a9,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,AAVEUSDT,15m,LONG,PASSED,,,21.558733035356735,14.5,7.058733035356735,1850,1850,0,True,True,,,sign_flip,
cbaeb4f86670ac774bb764efe8d9b825e09600c88d204b3de4d565a4d5cde113,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,AVAXUSDT,15m,LONG,PASSED,,,18.844455063049736,14.5,4.344455063049736,1868,1869,0,True,True,,,sign_flip,
bb039c01c70933db42f193ca8a2348a8172e353b5f0c7902bf2537ff61014c1a,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,BNBUSDT,15m,LONG,PASSED,,,27.74301516279448,14.5,13.243015162794482,2120,2121,0,True,True,,,sign_flip,
410d1c9daa4ddfbe0b5cf69b9cc28852bfe4e3ec98134dd45e1c45367a782aed,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,BTCUSDT,15m,LONG,PASSED,,,16.901355637748175,14.5,2.401355637748175,2361,2362,0,True,True,,,sign_flip,
b10469346487963d7a6019303dadd1e6853161e95e80b6d27d2fb9943ab69423,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,DOGEUSDT,15m,LONG,PASSED,,,47.692917886365755,14.5,33.192917886365755,2031,2032,0,True,True,,,sign_flip,
91fa1d6e7fc6048fa25aadd4036e4fe7abe2c7011b70dc57f8f2a03652d6cd10,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,ETHUSDT,15m,LONG,PASSED,,,26.861866630010457,14.5,12.361866630010457,2188,2189,0,True,True,,,sign_flip,
e83a9b44732c10e7535a78a2ced79d97b5fb7c01393ca7b757caedd47b491271,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,FILUSDT,15m,LONG,PASSED,,,25.66619266754733,14.5,11.166192667547332,1885,1886,0,True,True,,,sign_flip,
6832f5def43b440c6f1a144fc93685f246b5f3e5e1769075812a8b6bbcbcbe80,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,FILUSDT,15m,SHORT,PASSED,,,21.56705980296104,14.5,7.06705980296104,1895,0,1895,True,True,,,sign_flip,
c8dd5b4b018d439fbcace0c23fb8d134642fe9f98e930ead0b9e20e74a39b45a,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,GALAUSDT,15m,LONG,PASSED,,,15.954922853833594,14.5,1.4549228538335939,1450,1451,0,True,True,,,sign_flip,
7d614b20388a04b911133fc41dc103d5010471e0a5ccc041ad8e291ba870860e,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,GALAUSDT,15m,SHORT,PASSED,,,22.71023899430049,14.5,8.21023899430049,1462,0,1462,True,True,,,sign_flip,
29cb89b62d3e69c8182ec4d15b8bf41836da02033b0c27be2aea33bbbecf267c,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,LINKUSDT,15m,LONG,PASSED,,,20.566630139458958,14.5,6.066630139458958,2090,2091,0,True,True,,,sign_flip,
2987398124b3783ae6e590de3226a5eb94cb7ea9eb567742c3c25e27b33c7dfc,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,SOLUSDT,15m,LONG,PASSED,,,30.566395747046833,14.5,16.066395747046833,1829,1830,0,True,True,,,sign_flip,
c58089146757cb3cff6838db98824303b6e2a9754f9620e91acde2d28c1bbd1c,C,a50f042e4a282691b27915d6b02a4fcc7042f6938aa34a23c4d72dfc369581ea,XRPUSDT,15m,LONG,PASSED,,,24.27700193042547,14.5,9.77700193042547,2219,2220,0,True,True,,,sign_flip,
ebd78dd2be3a8bf6d0eefc7de3c7e6c6e612437521dd3ae2621aedd2fd7c9ac8,C,86f8204f39ddcdec548de588ab845464f9231d438de60728816eaa1ed198176f,ETHUSDT,15m,LONG,PASSED,,,898.3401053973552,14.5,883.8401053973552,92,93,0,True,True,,,sign_flip,
